日期,收入/支出,類別,備註,合計
2015-07-20,支出,午餐,,-95.0
2015-07-21,支出,type107,拍線,-280.0
2015-07-21,支出,午餐,,-90.0
2015-07-22,支出,日常用品,玻璃貼,-590.0
2015-07-22,支出,午餐,,-85.0
2015-07-27,支出,午餐,,-95.0
2015-07-28,支出,午餐,,-85.0
2015-07-30,支出,晚餐,,-329.0
2015-07-30,支出,午餐,,-110.0
2015-08-16,支出,type107,mlb tv,-653.0
2015-09-08,支出,type107,mlb 升級,-166.0
2015-09-13,支出,日常用品,usb延長線,-359.0
2015-09-13,支出,晚餐,,-109.0
2015-09-13,支出,日常用品,3m無痕,-99.0
2015-09-14,支出,晚餐,,-105.0
2015-09-14,支出,午餐,,-60.0
2015-09-14,支出,日常用品,藍筆,-32.0
2015-09-14,支出,type119,成績單,-10.0
2015-09-15,支出,晚餐,,-120.0
2015-09-15,支出,午餐,,-98.0
2015-09-16,支出,晚餐,,-100.0
2015-09-16,支出,午餐,,-90.0
2015-09-17,支出,晚餐,,-111.0
2015-09-17,支出,午餐,,-70.0
2015-09-18,支出,日常用品,網路啟動碼,-800.0
2015-09-18,支出,晚餐,,-85.0
2015-09-19,支出,早餐,,-54.0
2015-09-19,支出,午餐,,-41.0
2015-09-20,支出,日常用品,枕頭,-599.0
2015-09-20,支出,晚餐,,-109.0
2015-09-21,支出,晚餐,,-150.0
2015-09-21,支出,午餐,,-57.0
2015-09-22,支出,午餐,,-110.0
2015-09-22,支出,晚餐,,-104.0
2015-09-23,支出,晚餐,,-95.0
2015-09-23,支出,午餐,,-60.0
2015-09-24,支出,晚餐,,-75.0
2015-09-24,支出,午餐,,-74.0
2015-09-25,支出,晚餐,,-90.0
2015-09-25,支出,午餐,,-60.0
2015-09-26,支出,晚餐,,-110.0
2015-09-26,支出,午餐,,-60.0
2015-09-28,支出,晚餐,,-20.0
2015-09-29,支出,type107,鍵盤,-690.0
2015-09-29,支出,晚餐,,-246.0
2015-09-29,支出,午餐,,-80.0
2015-09-30,支出,午餐,,-105.0
2015-09-30,支出,晚餐,,-102.0
2015-09-30,支出,飲料,,-35.0
2015-10-01,支出,晚餐,,-90.0
2015-10-01,支出,午餐,,-85.0
2015-10-02,支出,type119,列印成績單,-120.0
2015-10-02,支出,晚餐,,-100.0
2015-10-02,支出,零食,,-100.0
2015-10-02,支出,午餐,,-45.0
2015-10-03,支出,晚餐,,-95.0
2015-10-03,支出,午餐,,-65.0
2015-10-03,支出,交通,停車費,-20.0
2015-10-04,支出,午餐,,-111.0
2015-10-04,支出,晚餐,,-59.0
2015-10-05,支出,晚餐,,-150.0
2015-10-05,支出,午餐,,-95.0
2015-10-06,支出,type119,冷氣卡,-500.0
2015-10-06,支出,晚餐,,-90.0
2015-10-06,支出,午餐,,-60.0
2015-10-07,支出,type109,,-145.0
2015-10-07,支出,晚餐,,-100.0
2015-10-07,支出,午餐,,-85.0
2015-10-07,支出,type119,掃描,-80.0
2015-10-08,支出,晚餐,,-102.0
2015-10-08,支出,午餐,,-85.0
2015-10-09,支出,晚餐,,-75.0
2015-10-09,支出,午餐,,-57.0
2015-10-10,支出,午餐,,-52.0
2015-10-11,支出,晚餐,,-72.0
2015-10-12,支出,晚餐,,-100.0
2015-10-12,支出,午餐,,-85.0
2015-10-13,支出,晚餐,,-110.0
2015-10-13,支出,午餐,,-50.0
2015-10-13,支出,type119,寄信,-42.0
2015-10-14,支出,type110,畢業照,-350.0
2015-10-14,支出,晚餐,,-97.0
2015-10-14,支出,午餐,,-95.0
2015-10-15,支出,晚餐,,-95.0
2015-10-15,支出,午餐,,-45.0
2015-10-16,支出,晚餐,,-90.0
2015-10-16,支出,午餐,,-50.0
2015-10-17,支出,type119,玻璃貼,-590.0
2015-10-17,支出,type119,系羽隊費,-200.0
2015-10-17,支出,午餐,,-95.0
2015-10-17,支出,飲料,,-28.0
2015-10-18,支出,晚餐,,-132.0
2015-10-19,支出,晚餐,,-150.0
2015-10-19,支出,午餐,,-45.0
2015-10-20,支出,午餐,,-110.0
2015-10-20,支出,晚餐,,-90.0
2015-10-21,支出,晚餐,,-124.0
2015-10-21,支出,零食,,-100.0
2015-10-22,支出,日常用品,牙膏,-89.0
2015-10-22,支出,晚餐,,-85.0
2015-10-22,支出,午餐,,-60.0
2015-10-22,支出,type119,影印,-10.0
2015-10-23,支出,晚餐,,-100.0
2015-10-23,支出,午餐,,-74.0
2015-10-24,支出,午餐,,-69.0
2015-10-25,支出,晚餐,,-113.0
2015-10-26,支出,晚餐,,-90.0
2015-10-26,支出,午餐,,-75.0
2015-10-27,支出,晚餐,,-140.0
2015-10-27,支出,午餐,,-119.0
2015-10-28,支出,晚餐,,-100.0
2015-10-28,支出,午餐,,-70.0
2015-10-29,支出,晚餐,,-123.0
2015-10-29,支出,午餐,,-60.0
2015-10-30,支出,晚餐,,-106.0
2015-10-30,支出,午餐,,-60.0
2015-10-30,支出,早餐,,-20.0
2015-10-31,支出,零食,,-139.0
2015-10-31,支出,午餐,,-120.0
2015-10-31,支出,晚餐,,-65.0
2015-11-01,支出,晚餐,,-117.0
2015-11-02,支出,type109,校運外套,-470.0
2015-11-02,支出,晚餐,,-120.0
2015-11-02,支出,午餐,,-90.0
2015-11-03,支出,晚餐,,-90.0
2015-11-03,支出,午餐,,-85.0
2015-11-04,支出,type119,影印投影片,-225.0
2015-11-04,支出,晚餐,,-110.0
2015-11-04,支出,午餐,,-85.0
2015-11-05,支出,晚餐,,-100.0
2015-11-05,支出,午餐,,-60.0
2015-11-06,支出,晚餐,,-175.0
2015-11-06,支出,午餐,,-75.0
2015-11-06,支出,零食,,-69.0
2015-11-07,支出,午餐,,-100.0
2015-11-08,支出,晚餐,,-91.0
2015-11-09,支出,日常用品,掃把,-119.0
2015-11-09,支出,晚餐,,-100.0
2015-11-09,支出,午餐,,-60.0
2015-11-10,支出,晚餐,,-90.0
2015-11-10,支出,午餐,,-74.0
2015-11-11,支出,晚餐,,-112.0
2015-11-11,支出,午餐,,-85.0
2015-11-11,支出,早餐,,-20.0
2015-11-11,支出,零食,,-20.0
2015-11-12,支出,晚餐,,-109.0
2015-11-12,支出,午餐,,-85.0
2015-11-12,支出,日常用品,垃圾袋,-50.0
2015-11-13,支出,午餐,,-105.0
2015-11-13,支出,晚餐,,-101.0
2015-11-14,支出,午餐,,-100.0
2015-11-14,支出,晚餐,,-100.0
2015-11-15,支出,type110,羽球穿線 握把布,-350.0
2015-11-15,支出,午餐,,-190.0
2015-11-15,支出,晚餐,,-58.0
2015-11-16,支出,日常用品,冷氣費,-160.0
2015-11-16,支出,午餐,,-95.0
2015-11-16,支出,晚餐,,-75.0
2015-11-16,支出,零食,,-40.0
2015-11-17,支出,午餐,,-72.0
2015-11-17,支出,零食,,-50.0
2015-11-17,支出,飲料,,-50.0
2015-11-17,支出,飲料,,-22.0
2015-11-17,支出,早餐,,-20.0
2015-11-18,支出,晚餐,,-86.0
2015-11-18,支出,午餐,,-85.0
2015-11-19,支出,type110,螢幕,-3588.0
2015-11-19,支出,type119,轉接頭,-149.0
2015-11-19,支出,晚餐,,-127.0
2015-11-19,支出,午餐,,-60.0
2015-11-20,支出,午餐,,-95.0
2015-11-20,支出,晚餐,,-90.0
2015-11-20,支出,日常用品,文具,-51.0
2015-11-21,支出,晚餐,,-504.0
2015-11-21,支出,午餐,,-99.0
2015-11-21,支出,早餐,,-40.0
2015-11-21,支出,交通,,-40.0
2015-11-21,支出,交通,,-40.0
2015-11-22,支出,午餐,,-111.0
2015-11-22,支出,晚餐,,-95.0
2015-11-23,支出,晚餐,,-170.0
2015-11-23,支出,午餐,,-50.0
2015-11-24,支出,晚餐,,-90.0
2015-11-24,支出,午餐,,-79.0
2015-11-24,支出,早餐,,-50.0
2015-11-25,支出,晚餐,,-75.0
2015-11-25,支出,午餐,,-70.0
2015-11-25,支出,零食,,-60.0
2015-11-26,支出,晚餐,,-105.0
2015-11-26,支出,午餐,,-85.0
2015-11-27,支出,晚餐,,-121.0
2015-11-27,支出,午餐,,-70.0
2015-11-27,支出,早餐,,-40.0
2015-11-28,支出,午餐,,-60.0
2015-11-29,支出,晚餐,,-110.0
2015-11-30,支出,晚餐,,-150.0
2015-11-30,支出,午餐,,-45.0
2015-12-01,支出,晚餐,,-90.0
2015-12-01,支出,午餐,,-80.0
2015-12-02,支出,晚餐,,-110.0
2015-12-02,支出,午餐,,-60.0
2015-12-02,支出,零食,,-50.0
2015-12-03,支出,晚餐,,-75.0
2015-12-03,支出,午餐,,-50.0
2015-12-04,支出,晚餐,,-80.0
2015-12-04,支出,午餐,,-75.0
2015-12-05,支出,晚餐,,-75.0
2015-12-05,支出,午餐,,-70.0
2015-12-06,支出,晚餐,,-106.0
2015-12-06,支出,午餐,,-61.0
2015-12-07,支出,晚餐,,-110.0
2015-12-07,支出,零食,,-99.0
2015-12-07,支出,午餐,,-65.0
2015-12-08,支出,日常用品,影印卡 儲值,-100.0
2015-12-08,支出,晚餐,,-90.0
2015-12-08,支出,零食,,-50.0
2015-12-09,支出,晚餐,,-95.0
2015-12-09,支出,午餐,,-85.0
2015-12-09,支出,日常用品,資料盒,-78.0
2015-12-10,支出,晚餐,,-121.0
2015-12-10,支出,零食,,-99.0
2015-12-10,支出,午餐,,-45.0
2015-12-11,支出,日常用品,沐浴乳,-89.0
2015-12-11,支出,晚餐,,-75.0
2015-12-11,支出,午餐,,-65.0
2015-12-12,支出,晚餐,,-95.0
2015-12-12,支出,午餐,,-40.0
2015-12-13,支出,晚餐,,-102.0
2015-12-13,支出,午餐,,-85.0
2015-12-13,支出,零食,,-17.0
2015-12-14,支出,晚餐,,-150.0
2015-12-14,支出,午餐,,-50.0
2015-12-15,支出,晚餐,,-75.0
2015-12-16,支出,晚餐,,-102.0
2015-12-16,支出,午餐,,-85.0
2015-12-16,支出,type119,影印,-7.0
2015-12-17,支出,晚餐,,-95.0
2015-12-17,支出,午餐,,-60.0
2015-12-17,支出,零食,,-39.0
2015-12-18,支出,晚餐,,-372.0
2015-12-18,支出,交通,,-75.0
2015-12-18,支出,午餐,,-50.0
2015-12-19,支出,午餐,,-48.0
2015-12-20,支出,晚餐,,-100.0
2015-12-21,支出,type119,悠遊卡儲值,-200.0
2015-12-21,支出,晚餐,,-102.0
2015-12-21,支出,午餐,,-45.0
2015-12-22,支出,晚餐,,-95.0
2015-12-22,支出,午餐,,-80.0
2015-12-23,支出,午餐,,-60.0
2015-12-23,支出,晚餐,,-60.0
2015-12-23,支出,宵夜,,-50.0
2015-12-24,支出,type107,steam,-150.0
2015-12-24,支出,晚餐,,-95.0
2015-12-24,支出,午餐,,-50.0
2015-12-24,支出,宵夜,,-50.0
2015-12-25,支出,晚餐,,-102.0
2015-12-25,支出,宵夜,,-50.0
2015-12-25,支出,午餐,,-45.0
2015-12-26,支出,晚餐,,-95.0
2015-12-26,支出,宵夜,,-83.0
2015-12-26,支出,午餐,,-40.0
2015-12-27,支出,晚餐,,-102.0
2015-12-27,支出,宵夜,,-50.0
2015-12-28,支出,晚餐,,-150.0
2015-12-28,支出,午餐,,-60.0
2015-12-29,支出,晚餐,,-95.0
2015-12-29,支出,午餐,,-50.0
2015-12-29,支出,早餐,,-20.0
2015-12-30,支出,午餐,,-102.0
2015-12-30,支出,晚餐,,-75.0
2015-12-31,支出,午餐,,-110.0
2015-12-31,支出,晚餐,,-95.0
2015-12-31,支出,宵夜,,-55.0
2015-12-31,支出,零食,,-34.0
2016-01-01,支出,午餐,,-65.0
2016-01-01,支出,晚餐,,-55.0
2016-01-03,支出,宵夜,,-100.0
2016-01-03,支出,午餐,,-35.0
2016-01-03,支出,晚餐,,-30.0
2016-01-04,支出,type111,大資盃,-633.0
2016-01-04,支出,晚餐,,-90.0
2016-01-04,支出,午餐,,-79.0
2016-01-04,支出,type119,隊費,-60.0
2016-01-04,支出,早餐,,-55.0
2016-01-05,支出,晚餐,,-102.0
2016-01-05,支出,午餐,,-60.0
2016-01-06,支出,晚餐,,-95.0
2016-01-06,支出,午餐,,-85.0
2016-01-07,支出,晚餐,,-90.0
2016-01-07,支出,零食,,-45.0
2016-01-07,支出,午餐,,-43.0
2016-01-07,支出,早餐,,-20.0
2016-01-08,支出,晚餐,,-75.0
2016-01-08,支出,午餐,,-50.0
2016-01-08,支出,早餐,,-20.0
2016-01-09,支出,晚餐,,-115.0
2016-01-10,支出,晚餐,,-99.0
2016-01-11,支出,晚餐,,-108.0
2016-01-11,支出,午餐,,-60.0
2016-01-12,支出,晚餐,,-108.0
2016-01-12,支出,午餐,,-50.0
2016-01-12,支出,早餐,,-40.0
2016-01-13,支出,晚餐,,-90.0
2016-01-13,支出,午餐,,-85.0
2016-01-13,支出,早餐,,-20.0
2016-01-14,支出,晚餐,,-109.0
2016-01-14,支出,午餐,,-60.0
2016-01-14,支出,早餐,,-40.0
2016-01-15,支出,午餐,,-102.0
2016-01-16,支出,晚餐,,-95.0
2016-01-17,支出,午餐,,-114.0
2016-01-17,支出,晚餐,,-72.0
2016-01-18,支出,type107,羽球證,-500.0
2016-01-18,支出,晚餐,,-150.0
2016-01-18,支出,午餐,,-95.0
2016-01-19,支出,晚餐,,-105.0
2016-01-19,支出,午餐,,-90.0
2016-01-24,支出,晚餐,,-330.0
2016-01-24,支出,日常用品,拖鞋,-20.0
2016-01-25,支出,午餐,,-102.0
2016-01-25,支出,晚餐,,-60.0
2016-01-25,支出,晚餐,,-36.0
2016-01-25,支出,飲料,,-35.0
2016-01-25,支出,晚餐,,-25.0
2016-01-25,支出,飲料,,-16.0
2016-01-25,支出,晚餐,,-10.0
2016-01-26,支出,午餐,,-549.0
2016-02-08,支出,type107,貝殼幣,-100.0
2016-02-16,支出,晚餐,,-120.0
2016-02-17,支出,晚餐,,-95.0
2016-02-17,支出,午餐,,-60.0
2016-02-18,支出,晚餐,,-95.0
2016-02-18,支出,午餐,,-45.0
2016-02-19,支出,晚餐,,-116.0
